PestName,ScientificName,HostCrop,RecommendedPesticide,ApplicationMethod
Aphids,Species 07. Genus,Rice,Carbendazim,Granular Soil
Whitefly,Species 02. Genus,Banana,Thiophanate-methyl,Electrostatic Spray
Mealybug,Species 04. Genus,Rice,Neem Oil,Aerosol
Mites,Species 08. Genus,Cabbage,Lambda-cyhalothrin,Seed Treatment
Aphids,Species 06. Genus,Jute,Lambda-cyhalothrin,Spot Treatment
Blast,Species 13. Genus,Maize,Tebuconazole,Thermal Fogging
Root Rot,Species 20. Genus,Soybean,Flubendiamide,Micro-Encapsulation
Rust,Species 19. Genus,Rice,Carbendazim,Banding
Smut,Species 02. Genus,Wheat,Flubendiamide,Aerosol
Fruit Fly,Species 19. Genus,Maize,Thiophanate-methyl,Dipping
Yellow Mosaic Virus,Species 07. Genus,Groundnut,Spirotetramat,Bait Application
Thrips,Species 19. Genus,Wheat,Cypermethrin,Electrostatic Spray
Stem Borer,Species 11. Genus,Cabbage,Imidacloprid,Aerosol
Nematode,Species 08. Genus,Soybean,Bifenthrin,Thermal Fogging
Root Rot,Species 16. Genus,Onion,Ethoprophos,Foliar Spray
Smut,Species 20. Genus,Maize,Neem Oil,Foliar Spray
Whitefly,Species 08. Genus,Maize,Carbendazim,Root Dip
Nematode,Species 10. Genus,Wheat,Neem Oil,Bait Application
Mites,Species 15. Genus,Mustard,Pyriproxyfen,Electrostatic Spray
Leafhopper,Species 20. Genus,Soybean,Spinetoram,Aerosol
Stem Borer,Species 19. Genus,Maize,Ethoprophos,Foliar Spray
Rust,Species 02. Genus,Onion,Fipronil,Chemigation
Pod Borer,Species 19. Genus,Soybean,Spinetoram,Dust Application
Stem Borer,Species 13. Genus,Sugarcane,Spirotetramat,Chemigation
Bollworm,Species 06. Genus,Rice,Metalaxyl,Soil Drench
Mealybug,Species 15. Genus,Chili,Spinetoram,Chemigation
Wilt,Species 10. Genus,Cotton,Azoxystrobin,Ultra-Low Volume
Cutworm,Species 08. Genus,Soybean,Carbendazim,Broadcast Spray
Blast,Species 18. Genus,Soybean,Imidacloprid,Micro-Encapsulation
Yellow Mosaic Virus,Species 15. Genus,Tomato,Bifenthrin,Bait Application
Mites,Species 11. Genus,Soybean,Tebuconazole,Soil Drench
Stem Borer,Species 20. Genus,Cotton,Neem Oil,Aerosol
Yellow Mosaic Virus,Species 19. Genus,Cotton,Fipronil,Trunk Injection
Rust,Species 10. Genus,Onion,Azoxystrobin,Bait Application
Armyworm,Species 13. Genus,Cotton,Deltamethrin,Foliar Spray
Yellow Mosaic Virus,Species 19. Genus,Rice,Spirotetramat,Broadcast Spray
Nematode,Species 15. Genus,Mustard,Neem Oil,Seed Treatment
Rust,Species 03. Genus,Soybean,Tebuconazole,Dust Application
Leafhopper,Species 06. Genus,Soybean,Pyriproxyfen,Bait Application
Wilt,Species 13. Genus,Potato,Imidacloprid,Ultra-Low Volume
Scale Insect,Species 17. Genus,Wheat,Chlorpyrifos,Thermal Fogging
Mites,Species 05. Genus,Cotton,Thiophanate-methyl,Banding
Fruit Fly,Species 14. Genus,Rice,Tebuconazole,Electrostatic Spray
Nematode,Species 20. Genus,Jute,Thiophanate-methyl,Aerosol
Wilt,Species 04. Genus,Onion,Azoxystrobin,Broadcast Spray
Yellow Mosaic Virus,Species 04. Genus,Maize,Spirotetramat,Ultra-Low Volume
Mealybug,Species 11. Genus,Soybean,Imidacloprid,Ultra-Low Volume
Yellow Mosaic Virus,Species 11. Genus,Soybean,Azoxystrobin,Aerosol
Mites,Species 09. Genus,Cotton,Spirotetramat,Soil Drench
Rust,Species 02. Genus,Sugarcane,Deltamethrin,Hand Spraying
Smut,Species 11. Genus,Sugarcane,Imidacloprid,Micro-Encapsulation
Root Rot,Species 18. Genus,Soybean,Neem Oil,Banding
Fruit Fly,Species 09. Genus,Cotton,Chlorpyrifos,Spot Treatment
Nematode,Species 18. Genus,Lentil,Carbendazim,Aerosol
Root Rot,Species 05. Genus,Wheat,Thiophanate-methyl,Dipping
Aphids,Species 11. Genus,Maize,Chlorpyrifos,Dipping
Mealybug,Species 05. Genus,Onion,Chlorpyrifos,Aerosol
Smut,Species 20. Genus,Cabbage,Bifenthrin,Spot Treatment
Whitefly,Species 04. Genus,Jute,Fipronil,Pressure Spray
Thrips,Species 17. Genus,Soybean,Carbendazim,Spot Treatment
Thrips,Species 16. Genus,Maize,Chlorpyrifos,Banding
Yellow Mosaic Virus,Species 17. Genus,Maize,Deltamethrin,Soil Drench
Mites,Species 11. Genus,Soybean,Metalaxyl,Chemigation
Rust,Species 06. Genus,Onion,Bifenthrin,Banding
Blast,Species 01. Genus,Mustard,Spinetoram,Trunk Injection
Fruit Fly,Species 18. Genus,Rice,Chlorpyrifos,Electrostatic Spray
Fruit Fly,Species 02. Genus,Maize,Deltamethrin,Spot Treatment
Mites,Species 15. Genus,Lentil,Bacillus thuringiensis,Bait Application
Pod Borer,Species 12. Genus,Mango,Tebuconazole,Ultra-Low Volume
Armyworm,Species 02. Genus,Wheat,Chlorpyrifos,Granular Soil
Aphids,Species 17. Genus,Groundnut,Deltamethrin,Soil Drench
Pod Borer,Species 11. Genus,Wheat,Thiophanate-methyl,Hand Spraying
Smut,Species 18. Genus,Rice,Fipronil,Broadcast Spray
Bollworm,Species 08. Genus,Cotton,Thiophanate-methyl,Foliar Spray
Root Rot,Species 13. Genus,Wheat,Lambda-cyhalothrin,Chemigation
Scale Insect,Species 05. Genus,Cotton,Imidacloprid,Trunk Injection
Wilt,Species 20. Genus,Mustard,Fipronil,Bait Application
Cutworm,Species 08. Genus,Jute,Cypermethrin,Broadcast Spray
Root Rot,Species 15. Genus,Gram,Ethoprophos,Trunk Injection
Rust,Species 05. Genus,Rice,Lambda-cyhalothrin,Soil Drench
Leafhopper,Species 18. Genus,Cotton,Metalaxyl,Dipping
Cutworm,Species 12. Genus,Chili,Carbendazim,Soil Drench
Cutworm,Species 12. Genus,Soybean,Neem Oil,Chemigation
Stem Borer,Species 20. Genus,Banana,Fipronil,Chemigation
Armyworm,Species 09. Genus,Gram,Deltamethrin,Seed Treatment
Aphids,Species 15. Genus,Cotton,Flubendiamide,Granular Soil
Stem Borer,Species 20. Genus,Gram,Fipronil,Hand Spraying
Armyworm,Species 14. Genus,Rice,Pyriproxyfen,Ultra-Low Volume
Leafhopper,Species 14. Genus,Rice,Azoxystrobin,Soil Drench
Mites,Species 03. Genus,Coffee,Carbendazim,Dipping
Whitefly,Species 17. Genus,Cotton,Flubendiamide,Ultra-Low Volume
Root Rot,Species 13. Genus,Cotton,Ethoprophos,Dust Application
Aphids,Species 19. Genus,Cotton,Ethoprophos,Foliar Spray
Aphids,Species 13. Genus,Lentil,Neem Oil,Hand Spraying
Wilt,Species 10. Genus,Maize,Carbendazim,Micro-Encapsulation
Wilt,Species 12. Genus,Rice,Thiophanate-methyl,Aerosol
Mites,Species 05. Genus,Coffee,Lambda-cyhalothrin,Hand Spraying
Yellow Mosaic Virus,Species 01. Genus,Sugarcane,Bacillus thuringiensis,Foliar Spray
Mites,Species 07. Genus,Soybean,Carbendazim,Soil Drench
Rust,Species 02. Genus,Cotton,Lambda-cyhalothrin,Ultra-Low Volume
Pod Borer,Species 13. Genus,Rice,Carbendazim,Aerosol
Stem Borer,Species 02. Genus,Wheat,Flubendiamide,Soil Drench
Bollworm,Species 18. Genus,Lentil,Flubendiamide,Chemigation
Scale Insect,Species 12. Genus,Wheat,Bifenthrin,Trunk Injection
Nematode,Species 13. Genus,Soybean,Cypermethrin,Trunk Injection
Thrips,Species 07. Genus,Mustard,Fipronil,Trunk Injection
Scale Insect,Species 02. Genus,Potato,Pyriproxyfen,Dust Application
Cutworm,Species 18. Genus,Banana,Bacillus thuringiensis,Foliar Spray
Wilt,Species 01. Genus,Soybean,Cypermethrin,Hand Spraying
Nematode,Species 03. Genus,Cotton,Metalaxyl,Pressure Spray
Bollworm,Species 17. Genus,Mustard,Imidacloprid,Ultra-Low Volume
Pod Borer,Species 11. Genus,Rice,Deltamethrin,Broadcast Spray
Thrips,Species 15. Genus,Wheat,Bacillus thuringiensis,Spot Treatment
Thrips,Species 04. Genus,Sugarcane,Spinetoram,Bait Application
Armyworm,Species 19. Genus,Maize,Flubendiamide,Pressure Spray
Wilt,Species 02. Genus,Rice,Metalaxyl,Aerosol
Blast,Species 01. Genus,Soybean,Cypermethrin,Dust Application
Blast,Species 18. Genus,Soybean,Azoxystrobin,Micro-Encapsulation
Rust,Species 08. Genus,Gram,Thiophanate-methyl,Seed Treatment
Wilt,Species 01. Genus,Mustard,Lambda-cyhalothrin,Granular Soil
Nematode,Species 20. Genus,Tea,Carbendazim,Granular Soil
Wilt,Species 11. Genus,Mustard,Lambda-cyhalothrin,Banding
Wilt,Species 03. Genus,Potato,Cypermethrin,Chemigation
Wilt,Species 20. Genus,Sugarcane,Chlorpyrifos,Banding
Mites,Species 16. Genus,Potato,Imidacloprid,Banding
Root Rot,Species 10. Genus,Mustard,Cypermethrin,Seed Treatment
Aphids,Species 06. Genus,Chili,Deltamethrin,Pressure Spray
Pod Borer,Species 12. Genus,Cotton,Deltamethrin,Pressure Spray
Blast,Species 10. Genus,Soybean,Deltamethrin,Ultra-Low Volume
Fruit Fly,Species 17. Genus,Gram,Chlorpyrifos,Pressure Spray
Nematode,Species 19. Genus,Sugarcane,Imidacloprid,Granular Soil
Blast,Species 13. Genus,Cabbage,Azoxystrobin,Ultra-Low Volume
Bollworm,Species 02. Genus,Soybean,Tebuconazole,Hand Spraying
Bollworm,Species 08. Genus,Onion,Carbendazim,Electrostatic Spray
Nematode,Species 18. Genus,Tomato,Bifenthrin,Bait Application
Yellow Mosaic Virus,Species 04. Genus,Onion,Deltamethrin,Electrostatic Spray
Mealybug,Species 16. Genus,Potato,Ethoprophos,Chemigation
Bollworm,Species 04. Genus,Rice,Spirotetramat,Dipping
Thrips,Species 16. Genus,Maize,Ethoprophos,Banding
Scale Insect,Species 08. Genus,Banana,Tebuconazole,Foliar Spray
Scale Insect,Species 06. Genus,Sugarcane,Pyriproxyfen,Seed Treatment
Wilt,Species 17. Genus,Mango,Fipronil,Broadcast Spray
Cutworm,Species 04. Genus,Maize,Thiophanate-methyl,Ultra-Low Volume
Cutworm,Species 11. Genus,Rice,Imidacloprid,Foliar Spray
Pod Borer,Species 02. Genus,Cotton,Metalaxyl,Bait Application
Stem Borer,Species 14. Genus,Coffee,Ethoprophos,Granular Soil
Blast,Species 15. Genus,Wheat,Flubendiamide,Soil Drench
Whitefly,Species 05. Genus,Rice,Bacillus thuringiensis,Dipping
Scale Insect,Species 18. Genus,Tea,Bacillus thuringiensis,Banding
Fruit Fly,Species 20. Genus,Rice,Chlorpyrifos,Aerosol
Armyworm,Species 05. Genus,Lentil,Pyriproxyfen,Chemigation
Mealybug,Species 06. Genus,Potato,Bacillus thuringiensis,Micro-Encapsulation
Scale Insect,Species 06. Genus,Soybean,Azoxystrobin,Spot Treatment
Wilt,Species 04. Genus,Wheat,Tebuconazole,Thermal Fogging
Nematode,Species 10. Genus,Cotton,Chlorpyrifos,Aerosol
Yellow Mosaic Virus,Species 08. Genus,Mustard,Carbendazim,Thermal Fogging
Wilt,Species 03. Genus,Maize,Carbendazim,Hand Spraying
Scale Insect,Species 11. Genus,Wheat,Chlorpyrifos,Dipping
Armyworm,Species 18. Genus,Wheat,Spirotetramat,Thermal Fogging
Rust,Species 19. Genus,Cabbage,Deltamethrin,Ultra-Low Volume
Armyworm,Species 17. Genus,Lentil,Neem Oil,Aerosol
Nematode,Species 10. Genus,Cotton,Metalaxyl,Seed Treatment
Mealybug,Species 06. Genus,Wheat,Thiophanate-methyl,Pressure Spray
Leafhopper,Species 13. Genus,Wheat,Flubendiamide,Trunk Injection
Armyworm,Species 15. Genus,Mustard,Metalaxyl,Banding
Fruit Fly,Species 11. Genus,Lentil,Fipronil,Electrostatic Spray
Aphids,Species 02. Genus,Cotton,Mancozeb,Seed Treatment
Root Rot,Species 11. Genus,Jute,Neem Oil,Hand Spraying
Fruit Fly,Species 08. Genus,Coffee,Azoxystrobin,Trunk Injection
Wilt,Species 17. Genus,Groundnut,Metalaxyl,Bait Application
Bollworm,Species 13. Genus,Groundnut,Deltamethrin,Dust Application
Scale Insect,Species 20. Genus,Mango,Thiophanate-methyl,Banding
Aphids,Species 03. Genus,Wheat,Fipronil,Electrostatic Spray
Blast,Species 08. Genus,Cotton,Bifenthrin,Granular Soil
Thrips,Species 09. Genus,Soybean,Imidacloprid,Banding
Aphids,Species 03. Genus,Onion,Flubendiamide,Root Dip
Yellow Mosaic Virus,Species 15. Genus,Wheat,Azoxystrobin,Spot Treatment
Blast,Species 05. Genus,Wheat,Spinetoram,Root Dip
Cutworm,Species 17. Genus,Tea,Deltamethrin,Chemigation
Mealybug,Species 17. Genus,Coffee,Spinetoram,Micro-Encapsulation
Mites,Species 10. Genus,Wheat,Pyriproxyfen,Chemigation
Wilt,Species 17. Genus,Maize,Flubendiamide,Soil Drench
Blast,Species 10. Genus,Lentil,Deltamethrin,Soil Drench
Wilt,Species 02. Genus,Soybean,Spinetoram,Soil Drench
Scale Insect,Species 06. Genus,Wheat,Carbendazim,Chemigation
Pod Borer,Species 03. Genus,Tea,Ethoprophos,Soil Drench
Mites,Species 20. Genus,Tea,Mancozeb,Trunk Injection
Rust,Species 17. Genus,Wheat,Carbendazim,Pressure Spray
Stem Borer,Species 14. Genus,Wheat,Carbendazim,Dust Application
Leafhopper,Species 06. Genus,Chili,Tebuconazole,Granular Soil
Bollworm,Species 08. Genus,Wheat,Bifenthrin,Hand Spraying
Wilt,Species 08. Genus,Maize,Ethoprophos,Broadcast Spray
Rust,Species 13. Genus,Jute,Bifenthrin,Dust Application
Rust,Species 12. Genus,Maize,Chlorpyrifos,Ultra-Low Volume
Yellow Mosaic Virus,Species 13. Genus,Maize,Azoxystrobin,Dipping
Scale Insect,Species 03. Genus,Gram,Imidacloprid,Root Dip
Leafhopper,Species 14. Genus,Tomato,Metalaxyl,Root Dip
Scale Insect,Species 06. Genus,Cotton,Lambda-cyhalothrin,Bait Application
Blast,Species 06. Genus,Onion,Imidacloprid,Soil Drench
Mites,Species 12. Genus,Rice,Bacillus thuringiensis,Dust Application
Whitefly,Species 15. Genus,Mango,Spirotetramat,Broadcast Spray
Blast,Species 18. Genus,Potato,Flubendiamide,Soil Drench
Wilt,Species 20. Genus,Tea,Lambda-cyhalothrin,Foliar Spray
Root Rot,Species 08. Genus,Cotton,Ethoprophos,Seed Treatment
Cutworm,Species 09. Genus,Tomato,Deltamethrin,Electrostatic Spray
Whitefly,Species 14. Genus,Lentil,Thiophanate-methyl,Spot Treatment
Thrips,Species 07. Genus,Cotton,Flubendiamide,Thermal Fogging
Bollworm,Species 15. Genus,Gram,Neem Oil,Foliar Spray
Mites,Species 15. Genus,Coffee,Lambda-cyhalothrin,Micro-Encapsulation
Pod Borer,Species 06. Genus,Cabbage,Spinetoram,Bait Application
Cutworm,Species 09. Genus,Mustard,Carbendazim,Foliar Spray
Wilt,Species 18. Genus,Cotton,Spirotetramat,Dust Application
Bollworm,Species 15. Genus,Tomato,Ethoprophos,Chemigation
Nematode,Species 05. Genus,Tea,Azoxystrobin,Electrostatic Spray
Armyworm,Species 03. Genus,Cotton,Tebuconazole,Soil Drench
Armyworm,Species 17. Genus,Maize,Thiophanate-methyl,Dust Application
Thrips,Species 07. Genus,Coffee,Spinetoram,Chemigation
Fruit Fly,Species 15. Genus,Soybean,Thiophanate-methyl,Spot Treatment
Pod Borer,Species 06. Genus,Soybean,Cypermethrin,Broadcast Spray
Armyworm,Species 20. Genus,Mustard,Bacillus thuringiensis,Bait Application
Cutworm,Species 20. Genus,Wheat,Mancozeb,Bait Application
Blast,Species 14. Genus,Cotton,Lambda-cyhalothrin,Broadcast Spray
Pod Borer,Species 09. Genus,Maize,Deltamethrin,Broadcast Spray
Scale Insect,Species 13. Genus,Chili,Bifenthrin,Electrostatic Spray
Thrips,Species 14. Genus,Rice,Fipronil,Pressure Spray
Bollworm,Species 02. Genus,Maize,Bacillus thuringiensis,Soil Drench
Leafhopper,Species 10. Genus,Rice,Ethoprophos,Seed Treatment
Mites,Species 12. Genus,Lentil,Bacillus thuringiensis,Soil Drench
Blast,Species 11. Genus,Coffee,Thiophanate-methyl,Electrostatic Spray
Yellow Mosaic Virus,Species 02. Genus,Lentil,Spirotetramat,Broadcast Spray
Stem Borer,Species 14. Genus,Cotton,Cypermethrin,Seed Treatment
Aphids,Species 11. Genus,Wheat,Deltamethrin,Granular Soil
Pod Borer,Species 08. Genus,Gram,Fipronil,Bait Application
Mites,Species 05. Genus,Coffee,Azoxystrobin,Electrostatic Spray
Yellow Mosaic Virus,Species 03. Genus,Cotton,Mancozeb,Banding
Fruit Fly,Species 18. Genus,Chili,Cypermethrin,Micro-Encapsulation
Pod Borer,Species 20. Genus,Maize,Ethoprophos,Granular Soil
Leafhopper,Species 15. Genus,Mustard,Lambda-cyhalothrin,Seed Treatment
Mealybug,Species 09. Genus,Mango,Bifenthrin,Micro-Encapsulation
Thrips,Species 10. Genus,Jute,Ethoprophos,Aerosol
Smut,Species 05. Genus,Mango,Tebuconazole,Hand Spraying
Smut,Species 01. Genus,Banana,Flubendiamide,Spot Treatment
Scale Insect,Species 14. Genus,Soybean,Tebuconazole,Micro-Encapsulation
Scale Insect,Species 13. Genus,Banana,Pyriproxyfen,Pressure Spray
Armyworm,Species 15. Genus,Cotton,Spirotetramat,Aerosol
Whitefly,Species 15. Genus,Gram,Carbendazim,Hand Spraying
Armyworm,Species 08. Genus,Gram,Bacillus thuringiensis,Thermal Fogging
Leafhopper,Species 16. Genus,Cotton,Bifenthrin,Bait Application
Smut,Species 11. Genus,Cotton,Neem Oil,Micro-Encapsulation
Rust,Species 02. Genus,Maize,Ethoprophos,Soil Drench
Pod Borer,Species 07. Genus,Rice,Deltamethrin,Spot Treatment
Armyworm,Species 06. Genus,Tomato,Flubendiamide,Granular Soil
Bollworm,Species 16. Genus,Wheat,Spirotetramat,Dipping
Yellow Mosaic Virus,Species 04. Genus,Coffee,Bifenthrin,Soil Drench
Yellow Mosaic Virus,Species 02. Genus,Soybean,Spirotetramat,Chemigation
Mealybug,Species 12. Genus,Soybean,Azoxystrobin,Banding
Armyworm,Species 11. Genus,Maize,Spinetoram,Seed Treatment
Yellow Mosaic Virus,Species 03. Genus,Maize,Pyriproxyfen,Ultra-Low Volume
Whitefly,Species 18. Genus,Rice,Pyriproxyfen,Banding
Cutworm,Species 18. Genus,Chili,Cypermethrin,Banding
Rust,Species 05. Genus,Lentil,Flubendiamide,Hand Spraying
Nematode,Species 08. Genus,Tomato,Ethoprophos,Aerosol
Root Rot,Species 07. Genus,Soybean,Thiophanate-methyl,Ultra-Low Volume
Fruit Fly,Species 11. Genus,Soybean,Ethoprophos,Spot Treatment
Nematode,Species 07. Genus,Rice,Lambda-cyhalothrin,Bait Application
Nematode,Species 09. Genus,Soybean,Deltamethrin,Chemigation
Smut,Species 15. Genus,Soybean,Metalaxyl,Pressure Spray
Mealybug,Species 06. Genus,Soybean,Azoxystrobin,Seed Treatment
Blast,Species 19. Genus,Cotton,Lambda-cyhalothrin,Ultra-Low Volume
Leafhopper,Species 20. Genus,Wheat,Bacillus thuringiensis,Bait Application
Thrips,Species 17. Genus,Gram,Cypermethrin,Dust Application
Thrips,Species 04. Genus,Cotton,Thiophanate-methyl,Root Dip
Mites,Species 10. Genus,Coffee,Pyriproxyfen,Electrostatic Spray
Aphids,Species 07. Genus,Wheat,Bifenthrin,Thermal Fogging
Stem Borer,Species 06. Genus,Rice,Fipronil,Root Dip
Pod Borer,Species 01. Genus,Banana,Pyriproxyfen,Spot Treatment
Cutworm,Species 05. Genus,Wheat,Lambda-cyhalothrin,Root Dip
Mites,Species 15. Genus,Soybean,Spinetoram,Banding
Root Rot,Species 03. Genus,Gram,Ethoprophos,Hand Spraying
Yellow Mosaic Virus,Species 09. Genus,Rice,Spinetoram,Foliar Spray
Armyworm,Species 19. Genus,Rice,Tebuconazole,Bait Application
Wilt,Species 05. Genus,Banana,Flubendiamide,Dust Application
Blast,Species 10. Genus,Cotton,Lambda-cyhalothrin,Broadcast Spray
Mites,Species 03. Genus,Mango,Pyriproxyfen,Ultra-Low Volume
Thrips,Species 20. Genus,Banana,Azoxystrobin,Thermal Fogging
Fruit Fly,Species 11. Genus,Maize,Pyriproxyfen,Soil Drench
Thrips,Species 06. Genus,Wheat,Ethoprophos,Hand Spraying
Mites,Species 04. Genus,Tomato,Fipronil,Thermal Fogging
Leafhopper,Species 06. Genus,Cotton,Metalaxyl,Hand Spraying
Pod Borer,Species 06. Genus,Cotton,Bifenthrin,Ultra-Low Volume
Pod Borer,Species 01. Genus,Tomato,Spinetoram,Banding
Armyworm,Species 16. Genus,Rice,Tebuconazole,Ultra-Low Volume
Cutworm,Species 14. Genus,Cabbage,Cypermethrin,Foliar Spray
Scale Insect,Species 09. Genus,Wheat,Carbendazim,Spot Treatment
Nematode,Species 17. Genus,Rice,Thiophanate-methyl,Trunk Injection
Bollworm,Species 16. Genus,Jute,Azoxystrobin,Thermal Fogging
Yellow Mosaic Virus,Species 18. Genus,Cotton,Tebuconazole,Banding
Mealybug,Species 07. Genus,Rice,Azoxystrobin,Electrostatic Spray
Thrips,Species 20. Genus,Maize,Imidacloprid,Foliar Spray
Leafhopper,Species 16. Genus,Tomato,Neem Oil,Broadcast Spray
Aphids,Species 20. Genus,Coffee,Pyriproxyfen,Root Dip
Yellow Mosaic Virus,Species 14. Genus,Rice,Tebuconazole,Aerosol
Armyworm,Species 04. Genus,Maize,Bifenthrin,Micro-Encapsulation
Leafhopper,Species 06. Genus,Banana,Neem Oil,Chemigation
Rust,Species 05. Genus,Sugarcane,Spirotetramat,Thermal Fogging
Nematode,Species 09. Genus,Cotton,Deltamethrin,Dipping
Thrips,Species 04. Genus,Sugarcane,Pyriproxyfen,Chemigation
Root Rot,Species 03. Genus,Soybean,Carbendazim,Thermal Fogging
Nematode,Species 15. Genus,Banana,Flubendiamide,Foliar Spray
Leafhopper,Species 13. Genus,Rice,Lambda-cyhalothrin,Micro-Encapsulation
Aphids,Species 08. Genus,Rice,Neem Oil,Aerosol
Leafhopper,Species 10. Genus,Lentil,Bifenthrin,Root Dip
Armyworm,Species 14. Genus,Rice,Fipronil,Soil Drench
Blast,Species 02. Genus,Maize,Pyriproxyfen,Bait Application
Blast,Species 11. Genus,Gram,Tebuconazole,Bait Application
Mealybug,Species 16. Genus,Soybean,Bifenthrin,Soil Drench
Cutworm,Species 08. Genus,Maize,Neem Oil,Banding
Scale Insect,Species 01. Genus,Rice,Metalaxyl,Chemigation
Armyworm,Species 11. Genus,Rice,Lambda-cyhalothrin,Bait Application
Leafhopper,Species 19. Genus,Maize,Chlorpyrifos,Dust Application
Whitefly,Species 06. Genus,Soybean,Azoxystrobin,Thermal Fogging
Smut,Species 13. Genus,Cotton,Pyriproxyfen,Broadcast Spray
Scale Insect,Species 17. Genus,Onion,Thiophanate-methyl,Dust Application
Scale Insect,Species 16. Genus,Onion,Carbendazim,Hand Spraying
Aphids,Species 10. Genus,Wheat,Spirotetramat,Foliar Spray
Smut,Species 13. Genus,Soybean,Flubendiamide,Root Dip
Mealybug,Species 07. Genus,Soybean,Neem Oil,Ultra-Low Volume
Root Rot,Species 05. Genus,Maize,Cypermethrin,Root Dip
Rust,Species 13. Genus,Coffee,Deltamethrin,Pressure Spray
Nematode,Species 17. Genus,Jute,Neem Oil,Root Dip
Pod Borer,Species 13. Genus,Soybean,Thiophanate-methyl,Electrostatic Spray
Armyworm,Species 02. Genus,Wheat,Mancozeb,Aerosol
Smut,Species 17. Genus,Cotton,Thiophanate-methyl,Thermal Fogging
Smut,Species 17. Genus,Chili,Lambda-cyhalothrin,Foliar Spray
Mites,Species 06. Genus,Cotton,Tebuconazole,Aerosol
Stem Borer,Species 09. Genus,Onion,Metalaxyl,Soil Drench
Nematode,Species 06. Genus,Lentil,Carbendazim,Thermal Fogging
Stem Borer,Species 02. Genus,Gram,Spirotetramat,Granular Soil
Stem Borer,Species 04. Genus,Cotton,Azoxystrobin,Granular Soil
Mites,Species 01. Genus,Cotton,Neem Oil,Root Dip
Rust,Species 07. Genus,Rice,Deltamethrin,Spot Treatment
Aphids,Species 11. Genus,Wheat,Imidacloprid,Bait Application
Fruit Fly,Species 16. Genus,Wheat,Spinetoram,Thermal Fogging
Blast,Species 04. Genus,Jute,Ethoprophos,Foliar Spray
Nematode,Species 15. Genus,Cotton,Tebuconazole,Dipping
Cutworm,Species 20. Genus,Cotton,Cypermethrin,Aerosol
Mites,Species 14. Genus,Potato,Cypermethrin,Bait Application
Aphids,Species 10. Genus,Rice,Ethoprophos,Ultra-Low Volume
Pod Borer,Species 05. Genus,Sugarcane,Ethoprophos,Hand Spraying
Armyworm,Species 18. Genus,Mustard,Bifenthrin,Broadcast Spray
Aphids,Species 20. Genus,Cabbage,Pyriproxyfen,Micro-Encapsulation
Wilt,Species 14. Genus,Rice,Mancozeb,Banding
Blast,Species 20. Genus,Maize,Imidacloprid,Foliar Spray
Thrips,Species 19. Genus,Cotton,Tebuconazole,Aerosol
Smut,Species 13. Genus,Cabbage,Tebuconazole,Aerosol
Pod Borer,Species 18. Genus,Rice,Neem Oil,Trunk Injection
Aphids,Species 15. Genus,Mustard,Cypermethrin,Dust Application
Armyworm,Species 17. Genus,Cotton,Deltamethrin,Broadcast Spray
Fruit Fly,Species 13. Genus,Cotton,Spinetoram,Dust Application
Pod Borer,Species 11. Genus,Tea,Ethoprophos,Root Dip
Aphids,Species 09. Genus,Soybean,Fipronil,Dust Application
Nematode,Species 11. Genus,Rice,Carbendazim,Trunk Injection
Thrips,Species 20. Genus,Maize,Cypermethrin,Dust Application
Leafhopper,Species 01. Genus,Potato,Chlorpyrifos,Dipping
Aphids,Species 12. Genus,Wheat,Flubendiamide,Bait Application
Mites,Species 13. Genus,Wheat,Flubendiamide,Hand Spraying
Scale Insect,Species 11. Genus,Maize,Chlorpyrifos,Soil Drench
Scale Insect,Species 09. Genus,Rice,Flubendiamide,Broadcast Spray
Pod Borer,Species 09. Genus,Mango,Spirotetramat,Dipping
Aphids,Species 05. Genus,Sugarcane,Imidacloprid,Spot Treatment
Whitefly,Species 07. Genus,Wheat,Fipronil,Electrostatic Spray
Whitefly,Species 20. Genus,Tea,Lambda-cyhalothrin,Dust Application
Mites,Species 16. Genus,Wheat,Metalaxyl,Broadcast Spray
Leafhopper,Species 17. Genus,Cotton,Mancozeb,Foliar Spray
Thrips,Species 08. Genus,Tea,Bacillus thuringiensis,Dipping
Smut,Species 17. Genus,Cotton,Tebuconazole,Chemigation
Cutworm,Species 13. Genus,Mustard,Fipronil,Dust Application
Fruit Fly,Species 09. Genus,Maize,Ethoprophos,Trunk Injection
Armyworm,Species 16. Genus,Rice,Deltamethrin,Micro-Encapsulation
Rust,Species 11. Genus,Wheat,Pyriproxyfen,Banding
Whitefly,Species 16. Genus,Onion,Spinetoram,Dust Application
Cutworm,Species 12. Genus,Coffee,Azoxystrobin,Soil Drench
Cutworm,Species 15. Genus,Maize,Bacillus thuringiensis,Broadcast Spray
Armyworm,Species 20. Genus,Rice,Deltamethrin,Banding
Mites,Species 06. Genus,Cotton,Azoxystrobin,Chemigation
Mealybug,Species 07. Genus,Lentil,Bifenthrin,Bait Application
Leafhopper,Species 20. Genus,Soybean,Neem Oil,Broadcast Spray
Smut,Species 11. Genus,Maize,Tebuconazole,Hand Spraying
Stem Borer,Species 16. Genus,Wheat,Lambda-cyhalothrin,Banding
Stem Borer,Species 12. Genus,Jute,Chlorpyrifos,Micro-Encapsulation
Aphids,Species 10. Genus,Wheat,Bifenthrin,Seed Treatment
