SoilType,pH_Range,OC_Level,N_Level,P_Level,K_Level,Predicted_Health_Class
Chalk,Acidic,Medium,Excess,Deficient,Excess,Moderate
Clay,Neutral,Medium,Adequate,Excess,High,Good
Silt,Acidic,High,High,Deficient,Excess,Poor
Clay,Alkaline,Medium,Excess,Adequate,Excess,Good
Loam,Neutral,Low,Low,Excess,High,Good
Clay,Neutral,High,High,Adequate,Low,Poor
Chalk,Alkaline,Low,High,Deficient,Excess,Good
Chalk,Slightly Alkaline,Very High,Deficient,Deficient,Adequate,Good
Chalk,Acidic,High,Low,Low,Adequate,Good
Sand,Acidic,Low,Low,Adequate,Deficient,Moderate
Silt,Slightly Acidic,High,Adequate,Excess,Low,Good
Sand,Slightly Alkaline,Medium,Low,Excess,Low,Moderate
Loam,Neutral,Medium,Low,Adequate,Excess,Good
Clay,Acidic,Very High,Excess,Deficient,Adequate,Good
Chalk,Alkaline,Low,Low,Low,Adequate,Critical
Sand,Slightly Acidic,High,Adequate,Adequate,Deficient,Good
Clay,Slightly Acidic,Medium,Deficient,Low,High,Good
Clay,Slightly Alkaline,Low,Adequate,Adequate,High,Moderate
Loam,Slightly Alkaline,High,High,High,High,Excellent
Silt,Slightly Acidic,High,Adequate,Excess,Deficient,Poor
Clay,Neutral,Medium,High,Deficient,Excess,Poor
Chalk,Alkaline,Low,Deficient,Adequate,Excess,Good
Clay,Alkaline,Very High,High,Adequate,Deficient,Moderate
Chalk,Slightly Alkaline,Low,Adequate,Adequate,Excess,Good
Clay,Slightly Acidic,Very Low,High,Excess,High,Moderate
Loam,Slightly Alkaline,Very Low,Adequate,High,High,Excellent
Sand,Acidic,Very High,Low,Low,Adequate,Moderate
Clay,Slightly Alkaline,Very Low,Excess,Excess,High,Moderate
Silt,Alkaline,Low,Excess,Excess,Low,Good
Chalk,Neutral,High,Low,Excess,Excess,Good
Chalk,Acidic,Very High,Low,Adequate,High,Poor
Loam,Slightly Acidic,Medium,High,Adequate,Adequate,Moderate
Clay,Neutral,High,Adequate,Deficient,Low,Poor
Sand,Alkaline,High,Excess,Excess,Low,Poor
Loam,Neutral,Very High,Deficient,Excess,Low,Poor
Silt,Acidic,Low,Excess,Deficient,Adequate,Excellent
Loam,Alkaline,Very High,Excess,Excess,Low,Good
Chalk,Acidic,Very High,High,Low,Adequate,Moderate
Silt,Acidic,Very High,Adequate,Low,Adequate,Moderate
Clay,Slightly Alkaline,Medium,Adequate,Deficient,High,Excellent
Sand,Slightly Acidic,Very Low,Excess,Excess,Low,Moderate
Chalk,Alkaline,Very Low,Adequate,Adequate,Deficient,Good
Silt,Neutral,Very Low,Adequate,Deficient,Low,Good
Clay,Acidic,Very Low,Excess,High,Adequate,Moderate
Clay,Acidic,Medium,High,High,Deficient,Good
Chalk,Acidic,Medium,Adequate,Adequate,Excess,Poor
Chalk,Acidic,High,Adequate,Adequate,Adequate,Excellent
Chalk,Alkaline,Low,Excess,Low,Adequate,Excellent
Loam,Alkaline,Medium,Adequate,Deficient,High,Moderate
Sand,Slightly Alkaline,Low,Excess,High,Adequate,Excellent
Silt,Slightly Acidic,Medium,High,High,Excess,Excellent
Chalk,Alkaline,Very High,Low,High,High,Good
Loam,Alkaline,Very Low,Adequate,High,Deficient,Good
Sand,Slightly Alkaline,High,Low,Excess,Excess,Good
Silt,Neutral,Very Low,Deficient,Adequate,Deficient,Critical
Sand,Neutral,Very High,High,Adequate,Low,Critical
Silt,Slightly Alkaline,Very Low,Adequate,Low,High,Moderate
Sand,Acidic,Medium,Excess,Deficient,Adequate,Poor
Sand,Neutral,Very High,Deficient,Deficient,Adequate,Poor
Clay,Alkaline,High,Deficient,Excess,Excess,Poor
Silt,Alkaline,High,Adequate,Excess,Deficient,Good
Silt,Slightly Acidic,Very High,High,Excess,High,Excellent
Clay,Alkaline,Low,Excess,Adequate,High,Good
Silt,Alkaline,Very Low,High,Low,Excess,Excellent
Chalk,Neutral,High,Deficient,Adequate,Excess,Good
Clay,Neutral,Very High,Excess,Low,Excess,Moderate
Silt,Slightly Alkaline,Medium,Low,Low,Adequate,Moderate
Sand,Slightly Alkaline,Low,Adequate,Low,Low,Good
Silt,Acidic,Medium,High,Excess,High,Excellent
Clay,Slightly Alkaline,Medium,Adequate,Low,Adequate,Critical
Chalk,Acidic,Low,High,Low,Deficient,Critical
Chalk,Acidic,Very Low,Deficient,Low,High,Excellent
Clay,Slightly Acidic,Very Low,High,High,Low,Excellent
Clay,Neutral,Very Low,Deficient,High,Excess,Critical
Sand,Alkaline,Low,Adequate,Deficient,Low,Good
Chalk,Acidic,Very Low,Deficient,Low,Deficient,Poor
Silt,Slightly Acidic,Low,High,Excess,Adequate,Critical
Chalk,Neutral,Low,Deficient,Excess,Excess,Moderate
Chalk,Slightly Alkaline,Medium,Adequate,Excess,Deficient,Good
Chalk,Alkaline,High,Low,High,Low,Poor
Loam,Slightly Alkaline,Very Low,Adequate,Adequate,Adequate,Critical
Sand,Neutral,Low,Adequate,Excess,Deficient,Good
Sand,Neutral,Medium,High,Excess,High,Moderate
Clay,Slightly Alkaline,Low,Low,Low,Deficient,Moderate
Sand,Neutral,Very Low,High,High,Deficient,Good
Silt,Neutral,Very High,High,Deficient,High,Poor
Clay,Slightly Acidic,Very Low,Adequate,Deficient,Deficient,Moderate
Clay,Alkaline,Medium,Deficient,Adequate,Excess,Excellent
Sand,Neutral,Low,Low,Low,High,Critical
Sand,Acidic,Very High,Adequate,Low,Adequate,Poor
Loam,Slightly Acidic,Low,Low,High,Deficient,Moderate
Loam,Alkaline,Very High,Adequate,Deficient,High,Good
Silt,Neutral,Low,High,Deficient,Low,Moderate
Chalk,Neutral,High,Excess,High,Excess,Good
Sand,Acidic,Very High,Excess,Excess,High,Good
Silt,Acidic,Medium,Excess,Excess,Adequate,Poor
Chalk,Alkaline,Very High,Excess,Low,Adequate,Moderate
Sand,Alkaline,Medium,High,Excess,Excess,Good
Chalk,Neutral,Very High,Low,Adequate,Excess,Excellent
Silt,Acidic,High,Adequate,High,Deficient,Good
Chalk,Alkaline,Very Low,Adequate,Excess,Low,Good
Sand,Acidic,Very High,Excess,Adequate,Excess,Moderate
Clay,Alkaline,Low,Adequate,Deficient,Adequate,Good
Clay,Slightly Alkaline,Very High,Adequate,Low,Adequate,Poor
Clay,Neutral,Low,High,Deficient,Deficient,Poor
Sand,Slightly Acidic,Very High,Excess,Excess,Adequate,Good
Sand,Slightly Acidic,High,Adequate,Low,High,Good
Clay,Slightly Alkaline,Medium,Excess,Deficient,Deficient,Poor
Loam,Alkaline,Very Low,Adequate,Excess,High,Moderate
Loam,Neutral,High,Adequate,High,Excess,Moderate
Silt,Slightly Alkaline,High,Deficient,Deficient,Adequate,Poor
Silt,Acidic,Very High,Excess,High,Low,Good
Chalk,Slightly Alkaline,Very High,Low,Adequate,Low,Poor
Loam,Neutral,Very Low,Adequate,Excess,High,Moderate
Chalk,Neutral,Medium,Adequate,Low,Low,Good
Clay,Neutral,Very High,Deficient,Excess,High,Good
Silt,Slightly Alkaline,Very Low,Deficient,Adequate,High,Good
Loam,Slightly Acidic,Low,Low,Low,Excess,Good
Loam,Acidic,High,High,Low,Low,Moderate
Silt,Alkaline,Medium,Low,Excess,Excess,Good
Chalk,Slightly Acidic,Medium,Low,Adequate,Deficient,Poor
Loam,Alkaline,Very Low,Low,Deficient,Adequate,Good
Sand,Neutral,Medium,Deficient,Adequate,High,Good
Silt,Acidic,Low,Deficient,High,Low,Critical
Sand,Acidic,High,Deficient,High,High,Excellent
Sand,Alkaline,Medium,High,Low,Deficient,Good
Loam,Alkaline,Very High,High,Adequate,Low,Good
Chalk,Acidic,Very Low,Adequate,High,Low,Good
Chalk,Slightly Acidic,Low,Low,Deficient,Deficient,Good
Loam,Neutral,Medium,Adequate,Low,Deficient,Good
Loam,Alkaline,Very High,Adequate,Low,Excess,Excellent
Chalk,Slightly Acidic,Medium,High,Adequate,Adequate,Moderate
Chalk,Alkaline,Medium,High,Excess,Adequate,Moderate
Loam,Acidic,High,Deficient,Adequate,Low,Excellent
Loam,Slightly Acidic,High,Deficient,High,Adequate,Good
Clay,Neutral,Very Low,Deficient,Adequate,Low,Excellent
Sand,Neutral,Very Low,Low,High,High,Excellent
Sand,Slightly Acidic,Very High,Adequate,High,Low,Good
Silt,Acidic,Medium,Adequate,High,High,Excellent
Silt,Acidic,Low,Deficient,Deficient,Low,Critical
Sand,Slightly Acidic,Low,Low,Low,Low,Moderate
Silt,Neutral,Low,Deficient,Low,Excess,Good
Chalk,Neutral,Medium,Low,Excess,Adequate,Poor
Silt,Acidic,Medium,High,Excess,Deficient,Good
Chalk,Alkaline,High,Low,Adequate,Deficient,Good
Sand,Slightly Acidic,High,Excess,Excess,Low,Moderate
Silt,Slightly Acidic,Low,Excess,Adequate,High,Moderate
Silt,Slightly Alkaline,Medium,Deficient,Deficient,High,Poor
Chalk,Slightly Alkaline,Very High,High,Excess,High,Good
Silt,Alkaline,Very Low,Excess,High,Low,Good
Loam,Acidic,Low,Excess,Excess,Excess,Moderate
Clay,Slightly Acidic,Medium,Excess,Low,Adequate,Critical
Silt,Alkaline,High,Adequate,Deficient,Deficient,Poor
Loam,Neutral,Low,Excess,High,Excess,Good
Sand,Slightly Acidic,High,Excess,Deficient,Excess,Moderate
Loam,Slightly Acidic,Very Low,Adequate,Adequate,Deficient,Poor
Loam,Neutral,High,Adequate,Adequate,Low,Moderate
Loam,Alkaline,High,Excess,Excess,Low,Moderate
Silt,Slightly Acidic,High,Adequate,Adequate,Adequate,Poor
Clay,Alkaline,Very High,Excess,Adequate,Adequate,Poor
Clay,Slightly Alkaline,Medium,Adequate,Deficient,Adequate,Good
Silt,Neutral,Medium,Excess,Deficient,Low,Moderate
Sand,Neutral,High,Adequate,Adequate,High,Good
Silt,Slightly Alkaline,High,High,High,Excess,Good
Sand,Slightly Acidic,Very High,Deficient,Deficient,Deficient,Good
Loam,Alkaline,Medium,Deficient,High,Deficient,Poor
Silt,Slightly Alkaline,Very Low,Adequate,High,High,Good
Loam,Slightly Acidic,Very High,Excess,Excess,Deficient,Good
Clay,Slightly Alkaline,High,Low,High,Adequate,Excellent
Clay,Alkaline,Very Low,High,Low,Adequate,Moderate
Chalk,Slightly Alkaline,Very High,High,Low,High,Good
Chalk,Acidic,Low,Low,Low,Low,Moderate
Clay,Alkaline,Low,Adequate,Deficient,High,Good
Chalk,Slightly Alkaline,Very Low,Adequate,High,Adequate,Poor
Chalk,Slightly Alkaline,Low,Adequate,High,Adequate,Good
Sand,Alkaline,Very High,High,Deficient,Deficient,Moderate
Sand,Acidic,High,Excess,Excess,Adequate,Poor
Clay,Slightly Alkaline,Very High,High,Deficient,Excess,Moderate
Silt,Alkaline,Low,High,Deficient,High,Poor
Loam,Neutral,Very Low,Excess,Adequate,Low,Moderate
Loam,Slightly Alkaline,Very High,Low,Low,Adequate,Moderate
Silt,Alkaline,Low,Low,Excess,Excess,Good
Clay,Alkaline,Very High,Adequate,Low,Low,Good
Chalk,Acidic,Very Low,Adequate,High,Excess,Excellent
Chalk,Alkaline,Low,Low,High,Deficient,Critical
Silt,Acidic,High,Adequate,Low,Excess,Moderate
Chalk,Acidic,High,Deficient,Low,Excess,Good
Sand,Slightly Acidic,Very Low,Excess,Excess,High,Moderate
Chalk,Slightly Alkaline,Very High,Low,High,Adequate,Good
Chalk,Acidic,Very High,Low,Deficient,Low,Good
Loam,Alkaline,Medium,Adequate,Low,Low,Good
Chalk,Neutral,Very Low,Adequate,Excess,Adequate,Critical
Sand,Alkaline,Medium,Excess,High,High,Moderate
Chalk,Alkaline,Low,Adequate,High,Deficient,Moderate
Loam,Alkaline,High,Deficient,Low,Adequate,Good
Silt,Slightly Alkaline,Very High,Deficient,High,Excess,Good
Chalk,Acidic,Very High,Deficient,Excess,Low,Excellent
Chalk,Slightly Acidic,High,Deficient,Deficient,Excess,Critical
Sand,Neutral,High,Adequate,Adequate,High,Moderate
Sand,Alkaline,Medium,High,High,Low,Moderate
Loam,Slightly Alkaline,Very High,Excess,Excess,Excess,Good
Chalk,Neutral,Low,Excess,Deficient,Deficient,Excellent
Sand,Alkaline,Very High,Excess,Excess,Adequate,Good
Chalk,Alkaline,Very Low,Low,Adequate,Low,Poor
Silt,Slightly Alkaline,Very Low,Deficient,Adequate,Adequate,Poor
Sand,Alkaline,Medium,Deficient,Deficient,Low,Good
Loam,Alkaline,Very High,Low,Deficient,Deficient,Excellent
Chalk,Alkaline,Very High,Adequate,High,Low,Moderate
Clay,Alkaline,Very High,Excess,High,Deficient,Excellent
Loam,Alkaline,Low,Excess,Excess,Deficient,Good
Chalk,Slightly Alkaline,Medium,Adequate,Deficient,Deficient,Poor
Sand,Slightly Acidic,High,Deficient,Deficient,Deficient,Critical
Chalk,Acidic,Very High,Deficient,High,Low,Excellent
Chalk,Slightly Acidic,High,Deficient,High,Low,Moderate
Silt,Alkaline,Low,Adequate,Deficient,Adequate,Good
Loam,Acidic,Medium,High,Adequate,Adequate,Excellent
Silt,Neutral,Medium,Adequate,Excess,Excess,Poor
Clay,Alkaline,Very High,Deficient,Deficient,Deficient,Poor
Loam,Slightly Alkaline,Low,Excess,Deficient,Deficient,Moderate
Loam,Slightly Acidic,Very Low,Excess,Excess,Adequate,Good
Sand,Slightly Alkaline,Very Low,Deficient,Adequate,Adequate,Moderate
Loam,Alkaline,Medium,Low,Deficient,Excess,Moderate
Loam,Acidic,Very High,Deficient,Low,Adequate,Excellent
Chalk,Slightly Acidic,Low,High,Adequate,Excess,Good
Chalk,Acidic,High,High,High,Low,Excellent
Clay,Acidic,High,Excess,High,High,Good
Loam,Slightly Alkaline,Very Low,Deficient,Deficient,Deficient,Good
Sand,Neutral,High,Low,Low,High,Moderate
Silt,Slightly Alkaline,Low,Deficient,High,Excess,Poor
Clay,Slightly Alkaline,Very Low,Deficient,High,Low,Good
Sand,Slightly Acidic,Medium,Adequate,Deficient,Low,Moderate
Silt,Slightly Alkaline,Very High,Deficient,Adequate,Deficient,Moderate
Clay,Acidic,Low,Low,Adequate,High,Poor
Clay,Acidic,Very Low,High,High,Excess,Moderate
Silt,Neutral,Very Low,Adequate,Low,Excess,Moderate
Clay,Slightly Alkaline,High,Deficient,Deficient,Excess,Critical
Clay,Acidic,Very Low,High,Excess,Deficient,Good
Chalk,Alkaline,Very High,Excess,Excess,Deficient,Poor
Loam,Slightly Acidic,High,Low,High,Low,Good
Silt,Slightly Alkaline,Medium,Deficient,Low,Excess,Moderate
Clay,Alkaline,Very Low,Deficient,Adequate,Adequate,Good
Silt,Neutral,Very High,Deficient,Adequate,Low,Moderate
Clay,Slightly Alkaline,Medium,Excess,High,Adequate,Good
Chalk,Slightly Acidic,High,High,Deficient,Adequate,Moderate
Silt,Slightly Alkaline,Medium,Deficient,Deficient,High,Poor
Clay,Slightly Alkaline,Low,Excess,Adequate,Low,Good
Chalk,Neutral,Very Low,Excess,Low,Deficient,Moderate
Chalk,Alkaline,Low,High,Adequate,Adequate,Moderate
Sand,Slightly Alkaline,Medium,Adequate,Excess,Excess,Good
Chalk,Alkaline,Medium,Low,High,Adequate,Moderate
Loam,Slightly Acidic,High,Adequate,Low,Low,Poor
Clay,Acidic,Medium,Excess,Adequate,Deficient,Excellent
Chalk,Slightly Acidic,Low,Deficient,Adequate,Deficient,Critical
Silt,Neutral,Very High,Excess,High,Adequate,Moderate
Clay,Alkaline,Medium,Excess,Excess,Adequate,Excellent
Chalk,Slightly Alkaline,High,Excess,Low,Excess,Poor
Loam,Acidic,Very High,Adequate,Deficient,Deficient,Moderate
Clay,Acidic,High,High,High,Adequate,Excellent
Clay,Acidic,Medium,High,Low,Deficient,Poor
Sand,Alkaline,High,High,Low,Low,Good
Clay,Neutral,Very Low,Adequate,Deficient,Excess,Good
Chalk,Alkaline,Low,Deficient,Adequate,Adequate,Critical
Silt,Alkaline,Very Low,Deficient,High,Low,Good
Loam,Acidic,Medium,Deficient,High,Adequate,Critical
Loam,Alkaline,Medium,Deficient,Deficient,Low,Moderate
Chalk,Slightly Alkaline,Very High,High,Adequate,Excess,Good
Silt,Slightly Alkaline,Medium,High,Excess,Adequate,Good
Silt,Acidic,High,Adequate,Adequate,Low,Good
Sand,Acidic,High,Excess,Deficient,Adequate,Moderate
Sand,Neutral,Medium,Excess,Deficient,Excess,Good
Clay,Slightly Acidic,High,Low,Excess,Adequate,Good
Chalk,Alkaline,Very High,Adequate,Deficient,Excess,Moderate
Chalk,Neutral,Very Low,High,Adequate,Adequate,Good
Clay,Acidic,High,Excess,Low,Low,Moderate
Loam,Slightly Acidic,Low,Low,Adequate,Excess,Critical
Clay,Alkaline,Medium,Low,Excess,Low,Good
Loam,Slightly Acidic,Low,Low,Excess,Deficient,Critical
Chalk,Slightly Acidic,Very Low,Low,High,Adequate,Moderate
Loam,Slightly Alkaline,High,Adequate,Deficient,Deficient,Moderate
Chalk,Slightly Alkaline,Very Low,Low,Excess,Excess,Moderate
Chalk,Neutral,Medium,Adequate,Deficient,High,Excellent
Sand,Slightly Acidic,Medium,Low,High,Deficient,Good
Chalk,Alkaline,Medium,Excess,Low,High,Excellent
Silt,Alkaline,Low,Adequate,Excess,High,Excellent
Chalk,Slightly Alkaline,Low,High,Adequate,Adequate,Moderate
Silt,Neutral,High,Adequate,Low,Adequate,Poor
Clay,Slightly Alkaline,Medium,Excess,Low,Adequate,Moderate
Silt,Slightly Alkaline,Very Low,Adequate,Adequate,Excess,Good
Sand,Slightly Alkaline,Medium,Deficient,High,High,Critical
Loam,Alkaline,Medium,High,Low,Excess,Poor
Loam,Slightly Acidic,Very Low,Deficient,High,High,Moderate
Loam,Acidic,Very High,High,Low,Excess,Poor
Sand,Slightly Acidic,Medium,Low,High,Excess,Moderate
Chalk,Slightly Acidic,Very High,Adequate,High,Adequate,Good
Loam,Neutral,Very Low,Adequate,Adequate,Excess,Good
Silt,Slightly Acidic,Very High,Excess,Deficient,Excess,Moderate
Sand,Acidic,Low,Excess,Adequate,Deficient,Excellent
Silt,Slightly Acidic,Medium,Low,Excess,Low,Poor
Chalk,Slightly Acidic,Medium,High,Low,Deficient,Poor
Loam,Slightly Alkaline,High,Adequate,Deficient,Deficient,Moderate
Loam,Alkaline,Low,Deficient,High,Low,Poor
Silt,Slightly Acidic,High,High,High,Deficient,Moderate
Sand,Alkaline,Low,Excess,Excess,Low,Moderate
Chalk,Slightly Acidic,Very Low,High,Deficient,Low,Good
Clay,Alkaline,Very Low,Low,Adequate,Excess,Moderate
Silt,Slightly Acidic,High,Adequate,Adequate,Deficient,Critical
Sand,Slightly Alkaline,Very Low,High,Deficient,Low,Critical
Loam,Slightly Alkaline,Medium,High,Low,Adequate,Poor
Clay,Slightly Acidic,Low,Deficient,Low,Deficient,Poor
Chalk,Acidic,Low,Deficient,Adequate,Adequate,Excellent
Loam,Alkaline,Very High,Low,High,Low,Poor
Clay,Slightly Acidic,Very Low,Adequate,Adequate,Low,Moderate
Chalk,Slightly Alkaline,Medium,High,Low,Adequate,Poor
Clay,Slightly Acidic,Very High,High,Low,Deficient,Excellent
Sand,Slightly Acidic,High,Adequate,Excess,Deficient,Moderate
Clay,Neutral,High,Low,Adequate,Low,Poor
Loam,Acidic,Very High,High,High,Adequate,Moderate
Clay,Slightly Alkaline,High,Deficient,High,Adequate,Moderate
Clay,Alkaline,Very High,Deficient,Deficient,Deficient,Excellent
Loam,Slightly Acidic,Low,Low,Excess,Deficient,Poor
Loam,Acidic,Very High,Deficient,Adequate,Low,Good
Sand,Alkaline,High,Low,Adequate,Deficient,Excellent
Clay,Alkaline,Medium,High,High,Low,Poor
Chalk,Alkaline,Medium,Adequate,Adequate,Excess,Moderate
Loam,Slightly Alkaline,Low,Deficient,Deficient,Adequate,Good
Silt,Slightly Alkaline,Low,Excess,Adequate,Excess,Critical
Sand,Acidic,High,Excess,Low,Low,Moderate
Clay,Slightly Acidic,Low,Low,Low,Adequate,Excellent
Sand,Alkaline,Low,Adequate,Deficient,High,Moderate
Silt,Neutral,Very High,Low,Adequate,Deficient,Good
Loam,Alkaline,Medium,Deficient,Excess,Low,Moderate
Sand,Neutral,Very High,High,Deficient,Excess,Good
Sand,Slightly Acidic,Very Low,Excess,Deficient,Low,Good
Loam,Neutral,Low,Excess,Deficient,Excess,Moderate
Chalk,Neutral,Medium,Adequate,Adequate,Excess,Critical
Sand,Acidic,Low,High,Low,Adequate,Critical
Chalk,Acidic,High,High,Excess,Deficient,Poor
Clay,Acidic,Medium,Excess,Excess,Adequate,Poor
Loam,Slightly Alkaline,Low,High,Low,High,Moderate
Clay,Acidic,High,Low,Adequate,Low,Good
Chalk,Alkaline,Very Low,Adequate,Deficient,Deficient,Good
Sand,Slightly Alkaline,Low,Excess,High,Deficient,Excellent
Loam,Neutral,Medium,Excess,Adequate,Low,Excellent
Clay,Slightly Acidic,Very Low,Adequate,Excess,High,Moderate
Clay,Neutral,Very Low,Adequate,High,Low,Poor
Chalk,Alkaline,Medium,High,Low,High,Poor
Sand,Neutral,Low,Deficient,Excess,Excess,Moderate
Sand,Alkaline,Very Low,Excess,High,Deficient,Moderate
Loam,Slightly Acidic,Very Low,Low,High,Low,Good
Loam,Alkaline,Very High,Deficient,Deficient,Deficient,Good
Loam,Neutral,Very Low,Adequate,High,Deficient,Good
Clay,Slightly Acidic,Medium,Excess,Low,Low,Moderate
Sand,Alkaline,High,High,Low,Excess,Moderate
Chalk,Acidic,Low,Low,Deficient,Excess,Good
Silt,Neutral,Very Low,High,High,Excess,Excellent
Clay,Alkaline,Medium,Adequate,Low,Low,Poor
Chalk,Neutral,Very High,Excess,Low,Adequate,Good
Clay,Neutral,High,High,Low,Deficient,Excellent
Clay,Neutral,Low,Low,Adequate,Deficient,Moderate
Silt,Acidic,Medium,High,Adequate,Excess,Poor
Sand,Acidic,Medium,High,High,Low,Poor
Loam,Acidic,Low,High,Excess,High,Good
Chalk,Slightly Acidic,Low,Adequate,Adequate,Adequate,Critical
Sand,Acidic,Very Low,Low,High,Adequate,Poor
Sand,Neutral,Very High,Deficient,Excess,Deficient,Moderate
Silt,Slightly Alkaline,Low,Low,Low,Excess,Critical
Chalk,Alkaline,Very High,High,Excess,Deficient,Moderate
Clay,Slightly Acidic,Medium,Deficient,Deficient,Excess,Poor
Clay,Acidic,Low,Deficient,High,Adequate,Good
Sand,Neutral,High,Low,Adequate,High,Excellent
Loam,Slightly Alkaline,Very High,High,Excess,Excess,Poor
Silt,Neutral,Very Low,Excess,Deficient,High,Poor
Loam,Alkaline,Very High,Deficient,Adequate,Low,Good
Loam,Slightly Acidic,High,Deficient,High,Adequate,Good
Sand,Alkaline,High,High,High,Adequate,Poor
Clay,Slightly Alkaline,Low,Deficient,High,Excess,Moderate
Sand,Neutral,Medium,Low,Low,Low,Excellent
Chalk,Slightly Acidic,Low,Adequate,High,High,Critical
Loam,Neutral,Medium,Adequate,High,Adequate,Critical
Loam,Alkaline,Very High,Adequate,Low,Adequate,Good
Loam,Neutral,Medium,High,Deficient,Adequate,Critical
Sand,Slightly Alkaline,Medium,Adequate,Deficient,High,Good
Chalk,Slightly Alkaline,Low,Adequate,Adequate,Excess,Moderate
Clay,Slightly Alkaline,Low,Deficient,Low,High,Poor
Loam,Alkaline,Very Low,Deficient,Deficient,Low,Good
Chalk,Alkaline,Low,Adequate,High,High,Poor
Chalk,Acidic,High,Deficient,High,Excess,Good
Silt,Slightly Acidic,High,Excess,Deficient,Adequate,Poor
Clay,Neutral,High,High,Deficient,High,Moderate
Loam,Slightly Acidic,Medium,Adequate,Excess,Excess,Excellent
Clay,Slightly Alkaline,Very Low,Deficient,High,Excess,Critical
Chalk,Slightly Acidic,Very High,Excess,High,Low,Poor
Silt,Neutral,Low,Deficient,High,Excess,Poor
Chalk,Neutral,High,High,Low,High,Critical
Loam,Neutral,Medium,Deficient,Excess,High,Critical
Loam,Slightly Acidic,Very Low,Adequate,High,Deficient,Good
Silt,Neutral,High,Excess,Low,Low,Excellent
Chalk,Acidic,High,Deficient,Adequate,Deficient,Good
Sand,Alkaline,Low,Excess,Adequate,Low,Good
Silt,Acidic,High,Deficient,Excess,High,Good
Loam,Alkaline,High,Low,High,Low,Good
Silt,Slightly Alkaline,High,High,Excess,Excess,Moderate
Loam,Neutral,Very Low,High,Low,Deficient,Moderate
Sand,Slightly Acidic,Low,High,Adequate,Excess,Good
Loam,Neutral,Very Low,Deficient,High,Deficient,Critical
Sand,Neutral,Medium,Deficient,High,Adequate,Moderate
Clay,Alkaline,Very High,High,Low,Excess,Good
Sand,Acidic,Very High,Deficient,High,Excess,Poor
Clay,Slightly Acidic,Very Low,High,Adequate,Excess,Good
Silt,Slightly Alkaline,Very High,Excess,Deficient,Adequate,Good
Loam,Slightly Acidic,High,High,High,High,Moderate
Loam,Neutral,Low,Adequate,High,Excess,Good
Loam,Neutral,Very Low,Excess,Excess,High,Moderate
Silt,Alkaline,Very Low,Adequate,High,Low,Good
Clay,Acidic,Very Low,Deficient,Excess,Deficient,Good
Loam,Slightly Alkaline,High,Deficient,High,Adequate,Good
Silt,Alkaline,Low,Deficient,High,Low,Good
Loam,Alkaline,Very High,High,Deficient,Adequate,Good
Clay,Alkaline,Low,Excess,Deficient,Adequate,Good
Chalk,Neutral,High,Adequate,High,Low,Poor
Chalk,Slightly Acidic,Medium,Low,Adequate,Deficient,Good
Silt,Slightly Alkaline,Low,Deficient,High,Low,Moderate
Clay,Neutral,High,Excess,High,Adequate,Poor
Silt,Acidic,Low,Deficient,Low,Deficient,Good
Silt,Acidic,High,Deficient,Low,Deficient,Poor
Sand,Slightly Acidic,Very High,Adequate,Deficient,Deficient,Critical
Chalk,Slightly Acidic,High,High,Excess,Adequate,Moderate
Silt,Slightly Alkaline,Low,High,Deficient,Deficient,Good
Loam,Slightly Acidic,Very High,Deficient,Adequate,Deficient,Moderate
Chalk,Acidic,Medium,Adequate,High,Low,Good
Sand,Acidic,Medium,Deficient,Excess,Low,Poor
Chalk,Slightly Alkaline,Very Low,Excess,Adequate,Low,Good
Chalk,Neutral,High,Deficient,High,Low,Poor
Clay,Slightly Alkaline,High,Excess,High,High,Poor
Chalk,Alkaline,Very High,Low,High,Excess,Good
Clay,Slightly Acidic,High,Adequate,Deficient,High,Good
Chalk,Acidic,Very Low,Excess,Low,Deficient,Excellent
Sand,Slightly Alkaline,Very Low,Deficient,Low,Low,Good
Sand,Alkaline,Low,Deficient,Deficient,High,Excellent
Chalk,Acidic,Low,Excess,Adequate,Excess,Good
Silt,Acidic,Very Low,Low,Excess,Deficient,Critical
Clay,Slightly Alkaline,Very Low,High,Low,Adequate,Critical
Loam,Neutral,High,Low,Adequate,Low,Critical
Chalk,Slightly Acidic,Low,Deficient,Low,Adequate,Moderate
Silt,Acidic,Very High,Adequate,High,High,Critical
Clay,Acidic,High,Deficient,Excess,Excess,Moderate
Clay,Alkaline,High,High,Excess,Adequate,Excellent
Clay,Acidic,Medium,Low,Adequate,Deficient,Moderate
Clay,Slightly Alkaline,Very High,Deficient,Excess,Adequate,Critical
Silt,Alkaline,Low,Low,Adequate,High,Poor
Loam,Alkaline,Very High,Excess,High,Low,Good
Sand,Slightly Acidic,High,High,Deficient,High,Excellent
Loam,Slightly Acidic,High,Low,Excess,Deficient,Poor
Loam,Slightly Alkaline,Medium,Low,High,Deficient,Poor
Chalk,Slightly Acidic,Low,Low,Adequate,Deficient,Poor
Clay,Acidic,High,Excess,Low,High,Good
Loam,Neutral,Very High,Deficient,High,Adequate,Poor
Chalk,Alkaline,High,Deficient,Adequate,Adequate,Poor
Clay,Alkaline,Low,Low,Deficient,Deficient,Poor
Sand,Slightly Acidic,Very Low,Low,Deficient,Deficient,Good
Clay,Neutral,Medium,Excess,Adequate,Excess,Good
